PARTICIPANT ID,PRESENT2015,EVENT DISTANCE,AGE CATAGORY,SEX CATAGORY,TIME
0,1,42,50,1,03:53:44
1,,,,,
2,1,42,40,1,03:11:49
3,1,42,15,1,04:16:00
4,,,,,
5,1,1,13,1,00:04:59
6,,,,,
7,1,42,30,1,04:17:03
8,1,42,30,0,06:01:00
9,1,42,35,0,04:59:11
10,1,42,35,1,04:24:51
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,1,42,45,1,03:22:34
16,,,,,
17,,,,,
18,,,,,
19,1,10,40,0,01:52:28
20,1,42,40,1,05:48:37
21,,,,,
22,,,,,
23,1,21,35,0,02:08:05
24,1,42,40,1,04:24:55
25,1,42,50,0,04:49:20
26,1,42,45,1,05:46:43
27,1,42,45,1,03:51:24
28,,,,,
29,,,,,
30,1,21,30,0,03:17:01
31,1,42,18,1,03:32:39
32,1,10,55,0,00:47:22
33,,,,,
34,,,,,
35,1,21,40,1,03:00:05
36,1,42,40,1,-1
37,1,42,30,1,04:46:16
38,1,21,40,1,01:58:28
39,1,42,40,0,05:44:51
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,1,42,45,1,04:21:33
46,,,,,
47,1,42,30,0,04:18:21
48,,,,,
49,1,42,40,1,04:31:04
50,1,42,45,1,06:53:51
51,1,42,25,0,05:19:55
52,,,,,
53,,,,,
54,1,42,35,0,06:34:13
55,,,,,
56,,,,,
57,1,42,30,1,03:45:55
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,1,42,40,1,05:22:33
63,1,42,30,0,04:50:04
64,,,,,
65,,,,,
66,1,21,50,1,01:43:26
67,1,42,18,0,03:52:22
68,,,,,
69,,,,,
70,1,21,25,1,01:54:42
71,1,42,40,1,04:47:36
72,1,21,35,0,02:26:44
73,1,21,40,1,01:49:56
74,1,42,25,1,05:54:25
75,1,42,35,1,03:45:33
76,,,,,
77,1,21,50,0,01:50:23
78,1,42,35,0,04:28:30
79,1,42,50,1,05:38:11
80,1,42,50,0,07:38:30
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,1,10,35,0,01:07:35
88,1,5,35,0,00:54:26
89,1,42,30,1,04:35:43
90,1,42,40,1,03:34:42
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,1,10,35,0,00:58:45
96,,,,,
97,,,,,
98,,,,,
99,1,42,35,1,05:43:50
100,1,21,45,0,02:17:29
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,1,21,50,1,01:52:00
110,1,42,18,1,04:05:36
111,,,,,
112,1,21,25,0,03:49:14
113,1,42,35,1,04:56:24
114,,,,,
115,1,42,35,1,05:31:53
116,,,,,
117,1,42,40,1,05:40:50
118,1,21,18,0,02:27:32
119,1,21,50,1,01:42:45
120,,,,,
121,,,,,
122,1,10,30,1,00:48:48
123,,,,,
124,1,42,45,0,04:07:51
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,1,42,45,1,04:04:03
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,1,21,25,1,01:58:52
136,1,1,13,1,00:08:23
137,,,,,
138,1,42,40,1,05:56:24
139,1,42,60,1,05:19:51
140,1,42,40,0,04:33:01
141,,,,,
142,,,,,
143,1,42,18,1,03:49:20
144,1,42,35,1,05:09:20
145,,,,,
146,1,21,25,1,02:03:29
147,1,42,18,1,04:05:53
148,1,42,50,1,04:57:54
149,,,,,
150,,,,,
151,1,21,18,1,02:00:12
152,1,42,18,0,03:38:36
153,,,,,
154,1,42,30,1,06:00:50
155,1,42,25,1,04:18:41
156,1,21,40,0,02:34:39
157,1,21,45,1,01:39:04
158,1,21,30,1,03:09:48
159,,,,,
160,,,,,
161,,,,,
162,1,21,35,0,02:58:49
163,1,42,40,1,-1
