"Marathon","FULL"
"Individual","OTHER"
"1 km - P'tit Marathon","OTHER"
"Ottawa Half Marathon","HALF"
"Demi-Marathon","HALF"
"10 km","TEN"
"Scotiabank Ottawa Marathon","FULL"
"5 KM","FIVE"
"Half Marathon","HALF"
"Overall","OTHER"
"Demi Marathon","HALF"
"Tinman Triathlon","OTHER"
"21 km","OTHER"
"20 km","HALF"
"Demi Esprit","HALF"
"6km","OTHER"
"Ottawa Marathon","FULL"
"5 km Course/Marche","FIVE"
"6km Obstacle Course","OTHER"
"Triathlon Olympique","OTHER"
"Full Marathon","FULL"
"21.1 KM","OTHER"
"Sprint Triathlon","OTHER"
"uthc28","OTHER"
"5.5 km","FIVE"
"6 KM MUD RUN AND OBSTACLE COURSE","OTHER"
"20 km route","HALF"
"Individuel","OTHER"
"Scotiabank Ottawa Half Marathon","HALF"
"uthc80","OTHER"
"30 km","OTHER"
"TRANS-VALLEE","OTHER"
"10 KM - SAIL","TEN"
"Extreme 8","OTHER"
"Grand Fondo Gatineau 111.8 Km","OTHER"
"Triathlon Sprint","OTHER"
"10 km Oasis","TEN"
"50 KM","OTHER"
"Overall Results","OTHER"
"21.1km","OTHER"
"Courte Distance - Individuel","OTHER"
"Ottawa 10K","TEN"
"uthc65","OTHER"
"42.2km","FULL"
"28 KM - Momentum Technologies","HALF"
"Ironman 5150- Triathlon Olympique","OTHER"
"5km Sports Experts","FIVE"
"1/2 Marathon - Demi-marathon","HALF"
"Sprint Individuel","OTHER"
"Triathlon Sprint - Sans Sillonnage","OTHER"
"Resultats","OTHER"
"Duathlon Sprint sans sillonnage","OTHER"
"XTERRA LONG","OTHER"
"Duathlon Olympique","OTHER"
"5i50 Individuel","OTHER"
"Triathlon Endurance Aventure Offshore","OTHER"
"100 km","OTHER"
"Individual Results","OTHER"
"10K","TEN"
"10Km","TEN"
"5 km Pneu Patry","FIVE"
"Triathlon Endurance Aventure Sprint","OTHER"
"XTERRA court","OTHER"
"10 km - Physio Sante","TEN"
"25 KM","FIVE"
"25km Classique","OTHER"
"Demi- Esprit","HALF"
"15 km","FIVE"
"80 KM (50 miles)","OTHER"
