PARTICIPANT ID,PRESENT2015,PRESENT2014,PRESENT2013,PRESENT2012,NUMOASIS
0,1,0,0,0,0
1,0,0,1,0,1
2,1,1,1,1,3
3,1,0,0,0,0
4,0,1,0,0,1
5,1,0,0,0,0
6,0,0,1,0,1
7,1,0,0,0,0
8,1,0,0,0,0
9,1,0,0,0,0
10,1,0,0,0,0
11,0,0,0,1,3
12,0,1,0,0,1
13,0,0,1,0,1
14,0,1,0,0,1
15,1,0,0,0,0
16,0,0,1,0,1
17,0,0,0,1,2
18,0,0,1,0,3
19,1,0,0,0,0
20,1,0,0,0,0
21,0,0,1,0,1
22,0,0,1,0,1
23,1,1,0,0,1
24,1,0,0,0,0
25,1,0,0,0,0
26,1,0,0,0,0
27,1,0,0,0,0
28,0,0,0,1,1
29,0,1,0,0,1
30,1,0,0,0,0
31,1,0,0,0,0
32,1,0,0,0,0
33,0,1,0,0,1
34,0,1,0,0,1
35,1,0,0,0,0
36,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
40,0,0,1,0,1
41,0,0,0,1,1
42,0,1,0,0,1
43,0,1,0,0,1
44,0,0,1,0,1
45,1,0,0,0,0
46,0,0,1,0,1
47,1,0,0,0,0
48,0,1,0,0,1
49,1,0,0,0,0
50,1,0,0,0,0
51,1,0,0,0,0
52,0,0,0,1,1
53,0,0,1,0,2
54,1,0,0,0,0
55,0,1,0,0,1
56,0,0,1,0,1
57,1,0,0,0,0
58,0,1,0,0,1
59,0,1,0,0,1
60,0,0,0,1,1
61,0,1,1,0,2
62,1,0,0,0,0
63,1,0,0,0,0
64,0,0,0,1,1
65,0,1,0,0,2
66,1,1,1,1,3
67,1,0,0,0,0
68,0,0,1,0,1
69,0,0,0,1,1
70,1,0,0,0,0
71,1,0,0,0,0
72,1,0,0,0,0
73,1,0,0,0,0
74,1,0,0,0,0
75,1,0,0,0,0
76,0,1,0,0,1
77,1,0,0,0,0
78,1,0,0,0,0
79,1,0,0,0,0
80,1,0,0,0,0
81,0,1,0,0,2
82,0,1,0,0,1
83,0,0,0,0,1
84,0,0,0,1,2
85,0,1,0,0,1
86,0,1,0,0,1
87,1,0,0,0,0
88,1,0,0,0,0
89,1,0,0,0,0
90,1,0,0,0,0
91,0,1,0,0,1
92,0,0,1,0,1
93,0,0,0,1,1
94,0,1,0,0,1
95,1,0,0,0,0
96,0,0,1,0,1
97,0,1,0,0,1
98,0,0,0,1,1
99,1,0,0,0,0
100,1,0,0,0,1
101,0,1,0,0,1
102,0,0,1,0,1
103,0,0,1,0,2
104,0,1,0,0,1
105,0,1,0,0,3
106,0,1,0,0,1
107,0,0,0,1,1
108,0,1,0,0,1
109,1,0,0,0,0
110,1,0,0,0,0
111,0,0,1,0,1
112,1,0,0,0,0
113,1,0,0,0,0
114,0,0,0,1,2
115,1,0,0,0,0
116,0,0,1,0,1
117,1,0,0,0,0
118,1,0,0,0,0
119,1,0,0,0,0
120,0,1,0,0,1
121,0,0,1,0,3
122,1,0,1,0,1
123,0,0,1,0,1
124,1,0,0,0,0
125,0,0,1,0,2
126,0,0,1,0,1
127,0,1,1,0,2
128,0,0,1,0,2
129,1,0,0,0,0
130,0,0,0,1,1
131,0,0,1,0,1
132,0,0,1,0,1
133,0,0,1,0,1
134,0,0,1,0,1
135,1,0,0,0,0
136,1,0,0,0,0
137,0,0,1,0,2
138,1,0,0,0,0
139,1,0,0,0,0
140,1,1,1,1,3
141,0,0,0,1,1
142,0,1,0,0,1
143,1,0,0,0,0
144,1,0,0,0,0
145,0,1,0,0,1
146,1,0,0,0,0
147,1,0,0,0,0
148,1,0,0,0,2
149,0,0,0,1,1
150,0,0,0,0,1
151,1,0,0,0,0
152,1,0,0,0,1
153,0,1,0,0,2
154,1,0,0,0,0
155,1,0,0,0,0
156,1,0,0,0,0
157,1,0,1,1,2
158,1,0,0,0,0
159,0,0,1,0,1
160,0,0,0,1,1
161,0,1,0,0,1
162,1,0,1,1,2
163,1,0,0,0,0
164,1,0,0,0,0
165,0,1,0,0,1
166,1,0,0,0,0
167,0,1,0,0,1
168,0,0,0,1,1
169,0,0,1,0,1
170,0,0,0,1,2
171,0,0,1,0,2
172,0,0,1,0,2
173,0,1,0,0,1
174,1,0,0,0,0
175,1,0,0,0,0
176,1,1,0,0,1
177,1,0,0,0,0
178,1,0,0,0,0
179,1,0,0,0,0
